sr_no,date,startup,industry,sub_vertical,city,investors,investment_type,amount_usd,amount_inr_crore,year,month
2310,2015-10-07,GoJavas,Delivery & Logistics Service provider,Other,Gurugram,Snapdeal,Private Equity,20000000.0,168.0,2015,October
2311,2015-10-07,Scandid,Product Discovery & comparison App,Other,Pune,Micromax Informatics,Private Equity,0.0,0.0,2015,October
2312,2015-10-07,StalkBuyLove,Online Apparels Fashion brand,Other,New Delhi,"Mato Peric, Peter Kabel & Others",Private Equity,0.0,0.0,2015,October
2313,2015-10-08,ZuperMeal,Home Cooked Food marketplace & Delivery,Other,Mumbai,"Sanjeev Kapoor,\\Xc2\\Xa0 Ravi Saxena & Others",Private Equity,2000000.0,16.8,2015,October
2314,2015-10-08,Cube26,Gesture based Mobile Development,Other,New Delhi,"Tiger Global Management, Flipkart",Private Equity,7700000.0,64.68,2015,October
2315,2015-10-08,Mobikon,Hotel Mobile CRM Software platform,Other,Pune / Singapore,"Life.Sreda, Qualgro",Private Equity,0.0,0.0,2015,October
2316,2015-10-08,Grabhouse,Rental Accommodation Search platform,Other,Bengaluru,Sequoia And Kalaari Capital.,Private Equity,10000000.0,84.0,2015,October
2317,2015-10-08,Quifers,Logistics Tech Platform,Other,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,310000.0,2.6,2015,October
2318,2015-10-09,Stockroom.io,Developer Portfolio Showcase platform,Other,Hyderabad,3 Undisclosed Investors,Seed Funding,70000.0,0.59,2015,October
2319,2015-10-09,Curofy,Doctors Network Mobile App,Other,New Delhi,Roundglass Partners,Private Equity,0.0,0.0,2015,October
2320,2015-10-09,Cloud Lending,End-to-End Lending platform,Other,Bangalore / San Mateo,Sf Capital Group,Private Equity,8000000.0,67.2,2015,October
2321,2015-10-09,Inayo,on-demand healthcare marketplace,Other,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath And Others",Seed Funding,300000.0,2.52,2015,October
2322,2015-10-09,WoNoBo,360-degree view creating platform,Other,Bengaluru,Quikr,Private Equity,0.0,0.0,2015,October
2323,2015-10-09,Kulzy,Advertising & Marketing Community Networking platform,Other,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,1000000.0,8.4,2015,October
2324,2015-10-09,Zeppery,Food Ordering & Delivery App,Other,New Delhi,Suyash Sharma,Seed Funding,77000.0,0.65,2015,October
2325,2015-10-12,Zify,Ride Sharing platform,Other,Hyderabad,Sean O\\Xe2\\X80\\X99Sullivan & Others,Seed Funding,190000.0,1.6,2015,October
2326,2015-10-12,Faircent,Online P2P lending marketplace,Other,Gurugram,Aarin Capital Partners,Private Equity,0.0,0.0,2015,October
2327,2015-10-12,Bizongo,B2B marketplace for industrial goods,Other,Mumbai,Accel Partners,Seed Funding,0.0,0.0,2015,October
2328,2015-10-12,Gridle,Cloud Based Collaboration platform,Other,Ahmedabad,Letsventure,Seed Funding,100000.0,0.84,2015,October
2329,2015-10-12,Tripoto,global community for travellers,Other,New Delhi,"500 Startups, Idg Ventures & Advantedge Fund, Neeraj Arora, Leon Seynave",Private Equity,0.0,0.0,2015,October
2330,2015-10-12,Mubble,Prepaid Bill manager App,Other,Bengaluru,Accel Partners,Private Equity,0.0,0.0,2015,October
2331,2015-10-13,Voodoo,Mobile Only Shopping Assistant,Other,New Delhi,Saif Partners,Seed Funding,1000000.0,8.4,2015,October
2332,2015-10-13,Lookup,Mobile Messaging Assistant App,Other,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European Investment Fund",Private Equity,2500000.0,21.0,2015,October
2333,2015-10-14,AskMyGift,Personalized Wish List creator app,Other,Noida,Turning Ideas,Seed Funding,50000.0,0.42,2015,October
2334,2015-10-14,Gaana.com,Music Streaming mobile app,Other,Mumbai,Micromax Informatics,Private Equity,0.0,0.0,2015,October
2335,2015-10-14,Zappfresh,Raw Meat & Ready to eat food etailer,Other,Gurugram,3 Undisclosed Investors,Seed Funding,77000.0,0.65,2015,October
2336,2015-10-14,GymTrekker,Gym Discovery platform,Other,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,0.0,0.0,2015,October
2337,2015-10-15,Bounty App,Online Purchase rewards app,Other,Bengaluru,"Fireside Ventures, Mumbai Angels Mape Advisory Group.",Seed Funding,0.0,0.0,2015,October
2338,2015-10-16,Homers.in,Home rental platform,Other,Gurugram,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,0.0,0.0,2015,October
2339,2015-10-16,mShipper,Crowdsourced Delivery platform,Other,New Delhi,Vijai Laxmi,Seed Funding,0.0,0.0,2015,October
2340,2015-10-16,BolRealty,Real Estate Insights platform,Other,New Delhi,Manpreet Singh,Seed Funding,0.0,0.0,2015,October
2341,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,Other,Mumbai,Parampara Capital,Private Equity,1000000.0,8.4,2015,October
2342,2015-10-19,LetsVenture,Startup Funding Marketplace,Other,Bengaluru,"Accel Partners, Anupam Mittal & Other Marquee Investors",Private Equity,0.0,0.0,2015,October
